name,planning_area,land_use_type,centroid_lon,centroid_lat,distance_m
kml_87171,Unknown,RESIDENTIAL,103.849246,1.325315,601.720321
kml_87174,Unknown,RESIDENTIAL,103.831842,1.411094,522.031246
kml_87176,Unknown,RESIDENTIAL,103.837701,1.326726,618.476465
kml_87177,Unknown,RESIDENTIAL,103.837763,1.326729,612.232889
kml_87178,Unknown,RESIDENTIAL,103.837875,1.326779,602.881674
kml_87179,Unknown,RESIDENTIAL,103.837811,1.326760,608.613811
kml_87180,Unknown,RESIDENTIAL,103.837890,1.326718,598.658245
kml_87181,Unknown,RESIDENTIAL,103.837714,1.326622,612.825159
kml_87182,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.884722,1.308186,314.150366
kml_87183,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.884763,1.307881,287.776113
kml_87186,Unknown,RESIDENTIAL,103.767934,1.291674,807.941066
kml_87190,Unknown,RESIDENTIAL,103.875685,1.394327,365.564340
kml_87199,Unknown,RESIDENTIAL,103.895353,1.304581,536.713299
kml_87200,Unknown,RESIDENTIAL,103.903213,1.305622,292.420956
kml_87201,Unknown,RESIDENTIAL,103.902651,1.304904,278.190436
kml_87205,Unknown,RESIDENTIAL,103.888489,1.297729,246.104151
kml_87206,Unknown,RESIDENTIAL,103.890234,1.299058,434.323487
kml_87207,Unknown,RESIDENTIAL,103.890532,1.298564,407.386476
kml_87208,Unknown,RESIDENTIAL,103.890544,1.298815,406.977024
kml_87209,Unknown,RESIDENTIAL,103.890433,1.298892,419.966521
kml_87210,Unknown,RESIDENTIAL,103.890126,1.298820,443.745767
kml_87211,Unknown,RESIDENTIAL,103.890476,1.299184,419.285365
kml_87212,Unknown,RESIDENTIAL,103.890337,1.298594,429.101277
kml_87213,Unknown,RESIDENTIAL,103.890692,1.298713,389.930363
kml_87214,Unknown,RESIDENTIAL,103.890628,1.299175,402.408130
kml_87215,Unknown,RESIDENTIAL,103.890727,1.298507,385.799078
kml_87217,Unknown,RESIDENTIAL,103.850536,1.318940,350.448450
kml_87220,Unknown,RESIDENTIAL,103.826972,1.451701,303.862930
kml_87227,Unknown,RESIDENTIAL,103.888249,1.302847,115.888732
kml_87229,Unknown,RESIDENTIAL,103.895331,1.302400,331.981563
kml_87230,Unknown,RESIDENTIAL,103.890714,1.299402,398.106341
kml_87231,Unknown,RESIDENTIAL,103.890909,1.298698,365.791765
kml_87232,Unknown,RESIDENTIAL,103.890872,1.299063,373.654993
kml_87233,Unknown,RESIDENTIAL,103.890911,1.298382,365.943200
kml_87234,Unknown,RESIDENTIAL,103.889293,1.299442,329.828422
kml_87235,Unknown,RESIDENTIAL,103.889690,1.299417,362.722132
kml_87236,Unknown,RESIDENTIAL,103.889311,1.299559,321.688590
kml_87237,Unknown,RESIDENTIAL,103.888567,1.298004,263.711486
kml_87238,Unknown,RESIDENTIAL,103.888538,1.297876,255.985471
kml_87239,Unknown,RESIDENTIAL,103.888565,1.298075,266.340942
